Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2868.11,37.8924,-87.0848,30.751,0.397445,-0.565847,0.399686,0.601753,0.0173369,0.00045125,5.21E-05,-9.79024,-0.220061,-0.451755,0.381743,-0.121693,0.0559682,32.675,101.176,0.024999,-0.00602935,0.0020167,0.00961509,-0.244515,-0.00514049,-0.0111004,0.108262,-0.0845284,0.380531,-0.0240019,0.0343717,-9.80303,-0.00916645,0.0346308,-0.0236742,-0.0240019,0.0343717,-0.00928879
2868.13,37.8924,-87.0848,30.751,0.397445,-0.565847,0.399686,0.601753,0.0173369,0.00045125,5.21E-05,-9.79024,-0.220061,-0.451755,0.381743,-0.121693,0.0559682,32.675,101.176,0.024999,-0.00602935,0.0020167,0.00961509,-0.244515,-0.00514049,-0.0111004,0.108262,-0.0845284,0.380531,-0.0240019,0.0343717,-9.80303,-0.00916645,0.0346308,-0.0236742,-0.0240019,0.0343717,-0.00928879
2868.16,37.8581,-87.0858,30.7822,0.39744,-0.565864,0.399659,0.601757,0.0205286,-0.00123128,-0.000798127,-9.78863,-0.266814,-0.406807,0.382644,-0.127918,0.0458432,32.67,101.161,0.025,-0.0025276,0.00224869,0.00898428,-0.244827,-0.00586416,-0.0112934,0.117767,-0.0773662,0.380823,0.00323884,-0.0241197,-9.80068,-0.00755157,-0.0119899,0.0209667,0.00323884,-0.0241197,-0.00693798
2868.18,37.8512,-87.0865,30.7849,0.397421,-0.565882,0.399637,0.601768,0.0128782,0.000279479,0.000402454,-9.78209,-0.277642,-0.507354,0.383692,-0.121778,0.0503811,32.67,101.172,0.025001,-0.0045843,0.00284109,0.0101455,-0.24437,-0.00649947,-0.0111632,0.110437,-0.0793292,0.382228,0.0501842,0.0657866,-9.79882,-0.00100281,-0.0228497,-0.0796805,0.0501842,0.0657866,-0.00507545
2868.22,37.8512,-87.0865,30.7849,0.397421,-0.565882,0.399637,0.601768,0.0128782,0.000279479,0.000402454,-9.78209,-0.277642,-0.507354,0.383692,-0.121778,0.0503811,32.67,101.172,0.025001,-0.0045843,0.00284109,0.0101455,-0.24437,-0.00649947,-0.0111632,0.110437,-0.0793292,0.382228,0.0501842,0.0657866,-9.79882,-0.00100281,-0.0228497,-0.0796805,0.0501842,0.0657866,-0.00507545
2868.24,37.8316,-87.0881,30.7994,0.3974,-0.565909,0.399604,0.601777,0.0166367,-0.00183203,0.00281942,-9.79658,-0.235249,-0.539352,0.384659,-0.122804,0.0538517,32.67,101.172,0.025,-0.00536426,0.00266048,0.0100258,-0.244725,-0.00655783,-0.0121204,0.110158,-0.0829232,0.383317,0.0219061,0.110826,-9.81358,-0.0154794,0.0195223,-0.11196,0.0219061,0.110826,-0.0198374
2868.27,37.8316,-87.0881,30.7994,0.3974,-0.565909,0.399604,0.601777,0.0166367,-0.00183203,0.00281942,-9.79658,-0.235249,-0.539352,0.384659,-0.122804,0.0538517,32.67,101.172,0.025,-0.00536426,0.00266048,0.0100258,-0.244725,-0.00655783,-0.0121204,0.110158,-0.0829232,0.383317,0.0219061,0.110826,-9.81358,-0.0154794,0.0195223,-0.11196,0.0219061,0.110826,-0.0198374
2868.29,37.7996,-87.091,30.826,0.397384,-0.565947,0.399567,0.601778,0.0176298,-0.00123065,0.00126146,-9.80087,-0.197121,-0.487793,0.383578,-0.132007,0.0504811,32.67,101.172,0.025,-0.0038926,0.0016577,0.0107881,-0.245008,-0.00570933,-0.0114242,0.119886,-0.0832082,0.381851,-0.0322148,0.0771283,-9.81462,-0.0197418,0.0575808,-0.0609679,-0.0322148,0.0771283,-0.0208759
2868.32,37.7712,-87.0927,30.8511,0.397376,-0.565968,0.399541,0.60178,0.0173318,-0.00174316,0.001421,-10.3202,-0.328197,-0.447053,0.382776,-0.116618,0.0536931,32.67,101.172,0.025001,-0.000596874,0.00222391,0.0105,-0.249615,-0.00648091,-0.0117639,0.104355,-0.0806269,0.381588,0.0542428,-0.0243927,-10.335,-0.539092,-0.0734606,-0.0205932,0.0542428,-0.0243927,-0.541205
2868.34,37.7712,-87.0927,30.8511,0.397376,-0.565968,0.399541,0.60178,0.0173318,-0.00174316,0.001421,-10.3202,-0.328197,-0.447053,0.382776,-0.116618,0.0536931,32.67,101.172,0.025001,-0.000596874,0.00222391,0.0105,-0.249615,-0.00648091,-0.0117639,0.104355,-0.0806269,0.381588,0.0542428,-0.0243927,-10.335,-0.539092,-0.0734606,-0.0205932,0.0542428,-0.0243927,-0.541205
