Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Timestamp
0.40029489,-0.77647563,9.90609282,0.08352,-1.20528,-0.40968,0
0.35688942,-0.81023544,9.87715584,0.06912,-1.18656,-0.3996,0
0.39064923,-0.81023544,9.8868015,0.08136,-1.21536,-0.38232,0
0.41476338,-0.80541261,9.87233301,0.06336,-1.20096,-0.38952,0
0.41476338,-0.8198811,9.91091565,0.05616,-1.2024,-0.37008,0
0.3858264,-0.80058978,9.86751018,0.0468,-1.18152,-0.36,0
0.44852319,-0.79576695,9.94949829,0.0684,-1.20168,-0.3528,0
0.37135791,-0.79576695,9.86751018,0.04176,-1.21752,-0.33912,0
0.39547206,-0.76682997,9.8868015,0.03744,-1.21392,-0.36072,0
0.40511772,-0.80058978,9.93985263,0.04752,-1.1844,-0.3456,0
0.37618074,-0.79576695,9.93020697,0.05688,-1.19448,-0.34992,0
0.42440904,-0.79094412,9.90126999,0.05904,-1.19592,-0.35208,0
0.40029489,-0.77647563,9.94467546,0.04536,-1.19808,-0.34632,0
0.35688942,-0.83917242,9.94949829,0.0576,-1.20024,-0.33408,0
0.36653508,-0.82470393,9.91573848,0.05472,-1.206,-0.34848,0
0.35688942,-0.80058978,9.95432112,0.05472,-1.18584,-0.33984,0
0.35688942,-0.81023544,9.92538414,0.04464,-1.21104,-0.36,0
0.30866112,-0.82952676,9.93985263,0.04536,-1.20528,-0.3672,0
0.30383829,-0.81023544,9.89644716,0.05688,-1.2096,-0.378,0
0.32795244,-0.8198811,9.90609282,0.06624,-1.19448,-0.37728,0
0.39064923,-0.78129846,9.9350298,0.06552,-1.19088,-0.39096,0
0.35206659,-0.77647563,9.95914395,0.06768,-1.18584,-0.38808,0
0.34724376,-0.75236148,9.94467546,0.06696,-1.1916,-0.38592,0
0.35206659,-0.75718431,9.91091565,0.08784,-1.20744,-0.378,0
0.37618074,-0.8198811,9.84821886,0.07416,-1.18728,-0.39096,0
0.2893698,-0.81505827,9.86751018,0.04608,-1.206,-0.40032,0
0.33277527,-0.78129846,9.92056131,0.0684,-1.19304,-0.37512,0
0.33277527,-0.81505827,9.89162433,0.0468,-1.20312,-0.37944,0
0.3858264,-0.73307016,9.91091565,0.06768,-1.21536,-0.35928,0
0.42440904,-0.77647563,9.9350298,0.0576,-1.20096,-0.37368,0
0.35206659,-0.78129846,9.87233301,0.0576,-1.20168,-0.19512,0
0.34242093,-0.79094412,9.91573848,0.0684,-1.21896,-0.35856,0
0.3375981,-0.73789299,9.96878961,0.04752,-1.2276,-0.35784,0
0.36653508,-0.7716528,9.96878961,0.0504,-1.22112,-0.35856,0
0.34724376,-0.78612129,9.87715584,0.06696,-1.23336,-0.3384,0
0.33277527,-0.77647563,9.90126999,0.06264,-1.21392,-0.3528,0
0.37135791,-0.7716528,9.93020697,0.04104,-1.20816,-0.342,0
0.36171225,-0.79576695,9.92538414,0.03888,-1.20744,-0.34776,0
0.34724376,-0.83917242,9.87233301,0.05832,-1.2204,-0.34992,0
0.44370036,-0.86328657,9.89644716,0.03384,-1.22184,-0.35568,0
0.36653508,-0.85846374,9.94949829,0.02448,-1.2276,-0.35568,0
0.39064923,-0.86328657,9.93020697,0.07416,-1.20672,-0.35712,0
0.30866112,-0.84881808,9.94949829,0.0648,-1.21248,-0.3564,0
0.30866112,-0.88740072,9.96396678,0.04536,-1.20528,-0.38808,0
0.27972414,-0.84399525,9.96396678,0.06624,-1.22904,-0.37656,0
0.31830678,-0.84399525,9.90609282,0.08136,-1.20384,-0.40536,0
0.3375981,-0.79094412,9.92056131,0.0504,-1.22616,-0.4104,0
0.34724376,-0.79094412,9.92538414,0.04104,-1.22112,-0.4248,0
0.35206659,-0.79576695,9.91573848,0.06984,-1.21968,-0.4176,0
0.37135791,-0.81023544,9.91091565,0.04896,-1.21608,-0.40176,0
0.3858264,-0.79094412,9.90609282,0.04248,-1.2024,-0.37872,0
0.39547206,-0.82952676,9.94467546,0.07632,-1.22904,-0.39888,0
0.40029489,-0.79576695,9.91091565,0.07056,-1.22832,-0.37296,0
0.42440904,-0.78129846,9.9832581,0.0504,-1.22976,-0.35496,0
0.39064923,-0.83917242,9.97361244,0.04752,-1.2132,-0.34992,0
0.49192866,-0.7716528,9.92056131,0.05328,-1.21392,-0.36,0
0.46299168,-0.84881808,9.97361244,0.05328,-1.19088,-0.37224,0
0.40511772,-0.81023544,9.90609282,0.04464,-1.20168,-0.36864,0
0.41476338,-0.8198811,9.93985263,0.03528,-1.19808,-0.37296,0
0.37135791,-0.88740072,9.96396678,0.02664,-1.21752,-0.3708,0
0.41476338,-0.87775506,9.95432112,0.06048,-1.20456,-0.378,0
0.35206659,-0.84399525,9.94467546,0.04824,-1.2024,-0.37152,0
0.35688942,-0.85846374,9.94949829,0.06192,-1.18872,-0.34056,0
0.34724376,-0.81023544,9.97361244,0.05256,-1.21536,-0.3132,0
0.34242093,-0.83434959,9.90609282,0.05904,-1.2168,-0.33336,0
0.35688942,-0.80541261,9.90126999,0.07128,-1.20888,-0.31968,0
0.3375981,-0.78612129,9.95432112,0.06984,-1.21176,-0.32472,0
0.36653508,-0.83917242,9.96396678,0.06552,-1.22472,-0.31464,0
0.3375981,-0.84881808,9.92056131,0.05256,-1.2204,-0.32976,0
0.3858264,-0.8681094,9.95432112,0.04392,-1.19592,-0.3384,0
0.42440904,-0.86328657,9.93020697,0.07056,-1.206,-0.396,0
0.40994055,-0.85364091,9.91573848,0.0648,-1.18872,-0.38952,0
0.39547206,-0.83434959,9.95914395,0.0648,-1.20456,-0.41688,0
0.32795244,-0.79576695,9.8868015,0.05904,-1.22688,-0.39744,0
0.40029489,-0.79094412,9.91091565,0.05904,-1.20384,-0.40536,0
0.35688942,-0.79094412,9.96878961,0.05688,-1.20384,-0.39456,0
0.36653508,-0.78612129,9.85304169,0.05256,-1.21176,-0.37728,0
0.35688942,-0.76682997,9.8868015,0.06768,-1.19376,-0.3528,0
0.36653508,-0.7716528,9.91573848,0.05544,-1.20312,-0.34128,0
0.40029489,-0.80058978,9.91573848,0.0828,-1.22688,-0.3312,0
0.3858264,-0.78129846,10.00737225,0.07344,-1.20168,-0.34272,0
0.40511772,-0.83434959,9.92538414,0.05256,-1.21104,-0.34128,0
0.46299168,-0.81023544,9.90609282,0.05904,-1.20528,-0.33192,0
0.45334602,-0.82470393,9.87715584,0.04968,-1.18944,-0.33696,0
0.43887753,-0.8681094,9.92538414,0.0684,-1.18656,-0.36432,0
0.38100357,-0.84399525,9.96396678,0.04248,-1.1736,-0.3744,0
0.42923187,-0.73789299,9.93985263,0.0468,-1.19664,-0.38736,0
0.41958621,-0.81023544,9.95432112,0.04536,-1.20024,-0.41688,0
0.37618074,-0.73789299,9.88197867,0.04752,-1.17864,-0.39744,0
0.36653508,-0.7716528,9.89644716,0.04104,-1.17288,-0.38592,0
0.30866112,-0.78612129,9.94467546,0.0504,-1.18944,-0.37368,0
0.37135791,-0.77647563,9.92056131,0.0432,-1.18224,-0.3564,0
0.29901546,-0.76200714,9.89162433,0.04752,-1.20024,-0.35424,0
0.26525565,-0.8198811,10.00737225,0.04536,-1.23048,-0.35136,0
0.25560999,-0.77647563,9.93985263,0.0324,-1.2132,-0.33192,0
0.27490131,-0.76200714,9.97843527,0.04248,-1.2132,-0.32184,0
0.30383829,-0.77647563,9.93985263,0.05544,-1.22328,-0.2952,0
0.36171225,-0.79576695,9.93985263,0.05904,-1.2384,-0.28008,0
0.27972414,-0.85364091,9.92056131,0.0468,-1.23768,-0.28584,0
0.3375981,-0.83917242,9.93985263,0.05904,-1.23264,-0.27,0
0.40029489,-0.85364091,9.99772659,0.054,-1.24056,-0.28368,0
0.33277527,-0.84399525,9.97361244,0.054,-1.22832,-0.29376,0
0.35688942,-0.85846374,9.92538414,0.03024,-1.22616,-0.28728,0
0.44852319,-0.88257789,9.9350298,0.0468,-1.23048,-0.31536,0
0.40511772,-0.8681094,9.93985263,0.05904,-1.2168,-0.32184,0
0.43887753,-0.83917242,9.9350298,0.06264,-1.2132,-0.37296,0
0.39547206,-0.84881808,9.93985263,0.05688,-1.206,-0.38808,0
0.40994055,-0.84399525,9.97843527,0.0648,-1.20528,-0.40032,0
0.32795244,-0.74753865,9.97361244,0.06336,-1.18656,-0.41976,0
0.37618074,-0.74753865,9.92056131,0.05472,-1.1988,-0.42408,0
