Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Timestamp
1.29251844,-7.18119387,75.44835252,-0.35424,-0.34632,-1.99728,0
2.97086328,-7.96249233,75.23132517,-0.51696,-1.25784,-2.1708,0
3.00944592,-8.13611421,74.65258557,-0.21456,-1.20456,-2.15424,0
1.42755768,-8.09270874,74.56577463,0.11016,-0.62568,-2.3796,0
1.93877766,-8.51711778,74.49825501,-0.10296,-1.05624,-2.29248,0
1.4950773,-8.49782646,74.53201482,-0.58176,-1.20456,-2.32272,0
1.46614032,-7.3789299,74.64776274,-0.4968,-0.92952,-2.3508,0
1.98218313,-8.05894893,74.77315632,-0.28296,-0.92088,-2.13768,0
1.77962427,-7.54772895,74.71045953,-0.288,-1.25424,-2.2356,0
1.52883711,-7.31623311,74.67669972,-0.43776,-1.2492,-2.34216,0
2.2667301,-8.08306308,74.72975085,-0.39456,-1.08864,-2.21184,0
1.64940786,-7.91908686,74.92266405,-0.44136,-1.15128,-2.37384,0
2.44035198,-8.01072063,74.85996726,-0.56592,-1.3788,-2.37312,0
2.42588349,-7.88532705,74.82138462,-0.5292,-1.36152,-2.3328,0
1.74104163,-7.51879197,74.58988878,-0.40536,-1.24704,-2.39976,0
2.22332463,-7.87568139,74.66223123,-0.6012,-1.31184,-2.3472,0
2.33424972,-7.58148876,74.92266405,-0.72216,-1.40832,-2.4156,0
2.23297029,-7.96731516,75.14451423,-0.68832,-1.36728,-2.4552,0
1.93395483,-7.90461837,74.72492802,-0.63,-1.35864,-2.45016,0
2.22814746,-7.48503216,75.00947499,-0.64512,-1.44432,-2.42928,0
2.13169086,-8.02518912,74.78762481,-0.67968,-1.44576,-2.47032,0
1.96771464,-7.44644952,74.66223123,-0.72864,-1.40112,-2.61504,0
2.2667301,-7.49467782,74.74904217,-0.756,-1.53,-2.57832,0
2.38247802,-7.84674441,74.76351066,-0.62568,-1.51992,-2.64456,0
2.00147445,-7.8129846,74.44038105,-0.59472,-1.53072,-2.73312,0
2.10275388,-7.65383121,74.85996726,-0.68256,-1.61568,-2.80296,0
2.33907255,-7.98660648,74.88890424,-0.70488,-1.64304,-2.76552,0
2.32460406,-7.30176462,74.82138462,-0.65592,-1.65024,-2.8008,0
2.14615935,-7.59113442,74.77797915,-0.5112,-1.74096,-2.87352,0
2.5078716,-6.38060409,74.2233537,-0.60696,-1.66104,-2.84688,0
2.33424972,-7.81780743,74.13654276,-0.71712,-1.61424,-2.85192,0
2.25708444,-7.45127235,74.26193634,-0.99576,-1.65024,-2.93328,0
2.14133652,-7.5718431,74.34874728,-0.93168,-1.73016,-2.94048,0
2.17991916,-7.52843763,74.47896369,-0.87912,-1.72944,-2.93544,0
2.12686803,-7.21495368,73.09481148,-1.05336,-1.7712,-2.94048,0
2.33424972,-7.3789299,74.05937748,-1.0764,-1.79928,-2.99448,0
2.42106066,-7.19566236,74.13654276,-1.17576,-1.77768,-3.07872,0
2.09793105,-7.57666593,74.3198103,-1.18872,-1.75392,-3.1284,0
2.14615935,-7.17154821,72.91154394,-1.16208,-1.78776,-3.17016,0
2.42106066,-6.68444238,74.0304405,-1.17288,-1.7856,-3.08952,0
2.32460406,-7.44162669,74.18477106,-1.28016,-1.69056,-2.98368,0
2.0255886,-6.87735558,74.20406238,-1.31688,-1.64448,-2.94984,0
2.14133652,-7.31623311,73.81823598,-1.332,-1.638,-2.96784,0
2.14615935,-7.19566236,73.84235013,-1.3536,-1.65456,-2.94768,0
2.35836387,-7.25835915,74.01597201,-1.36368,-1.5588,-2.89008,0
2.2185018,-7.40786688,73.63979127,-1.43208,-1.54656,-2.76912,0
2.13651369,-7.51396914,73.60120863,-1.53576,-1.5516,-2.83824,0
2.47893462,-7.29211896,73.8857556,-1.51488,-1.52784,-2.85912,0
2.63326518,-7.22942217,73.76518485,-1.46376,-1.3824,-2.84688,0
2.58985971,-7.12814274,73.95809805,-1.55232,-1.3572,-2.95632,0
2.49822594,-6.8484186,73.68319674,-1.656,-1.26648,-2.97792,0
2.31013557,-7.58148876,73.77483051,-1.60056,-1.22472,-3.03696,0
