Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2591.55,-7.40898,89.4611,164.238,-0.708483,-0.0508316,0.701959,-0.052169,-0.00447324,-0.072098,-0.0114248,20.0757,0.210555,-0.0531699,32.785,99.277,0.024999,0.000917482,-0.026305,0.0379776,0.296782,0.000171427,0.00164957,0.270671,-0.224975,-20.0738,10.2824,0.235609,-0.141932,0.270671,-0.224975,-10.2801
2591.58,-13.0909,89.6374,158.9,-0.707524,-0.0487225,0.703229,-0.0500436,0.0815745,-0.058746,0.10226,70.8256,10.9291,-3.45165,32.8,99.265,0.025,0.193749,-0.132291,0.004881,1.77331,0.0771106,-0.0746109,5.37908,-10.4434,-70.7787,61.032,10.9515,-3.50972,5.37908,-10.4434,-60.9849
2591.61,-39.6702,89.5675,132.137,-0.707223,-0.0486636,0.703368,-0.0523555,0.178555,-0.0309807,0.0866483,73.1514,7.8748,-0.0179099,32.8,99.302,0.024999,0.0567001,-0.0390556,0.0798459,1.81684,0.0239373,-0.0643622,1.56475,-8.14425,-73.1052,63.358,7.92962,-0.0675047,1.56475,-8.14425,-63.3114
2591.63,-39.6702,89.5675,132.137,-0.707223,-0.0486636,0.703368,-0.0523555,0.178555,-0.0309807,0.0866483,73.1514,7.8748,-0.0179099,32.8,99.302,0.024999,0.0567001,-0.0390556,0.0798459,1.81684,0.0239373,-0.0643622,1.56475,-8.14425,-73.1052,63.358,7.92962,-0.0675047,1.56475,-8.14425,-63.3114
2591.66,-38.8563,89.6039,133.415,-0.707292,-0.0459937,0.703698,-0.049312,0.343879,0.033483,-0.0891044,72.6978,3.33258,-3.58028,32.8,99.253,0.025,0.462045,-0.0248661,0.0103958,1.81799,-0.0854256,-0.0940722,4.38741,-3.13625,-72.6623,62.9043,3.38179,-3.62683,4.38741,-3.13625,-62.8685
2591.68,-38.8563,89.6039,133.415,-0.707292,-0.0459937,0.703698,-0.049312,0.343879,0.033483,-0.0891044,72.6978,3.33258,-3.58028,32.8,99.253,0.025,0.462045,-0.0248661,0.0103958,1.81799,-0.0854256,-0.0940722,4.38741,-3.13625,-72.6623,62.9043,3.38179,-3.62683,4.38741,-3.13625,-62.8685
2591.71,-29.9415,89.5922,142.368,-0.707604,-0.046017,0.703417,-0.0488188,-0.208383,0.0239942,0.0217339,73.7451,-1.73284,-0.763074,32.8,99.302,0.025,-0.224972,0.0142767,0.0181859,1.83,0.0364682,-0.0543753,0.979664,1.5571,-73.7465,63.9516,-1.69023,-0.818339,0.979664,1.5571,-63.9527
2591.73,-29.9415,89.5922,142.368,-0.707604,-0.046017,0.703417,-0.0488188,-0.208383,0.0239942,0.0217339,73.7451,-1.73284,-0.763074,32.8,99.302,0.025,-0.224972,0.0142767,0.0181859,1.83,0.0364682,-0.0543753,0.979664,1.5571,-73.7465,63.9516,-1.69023,-0.818339,0.979664,1.5571,-63.9527
2591.76,-47.3167,89.4706,124.437,-0.707309,-0.0482835,0.703229,-0.0534018,-0.142145,-0.0136053,0.0332184,73.6751,1.90117,-1.69227,32.8,99.302,0.025,-0.239516,-0.0175457,0.113426,1.84253,-0.0442561,-0.0408963,2.40974,-2.14003,-73.6486,63.8818,1.97594,-1.74354,2.40974,-2.14003,-63.8549
2591.78,-61.9028,89.4182,109.127,-0.706372,-0.0520031,0.703493,-0.0585884,-0.228191,-0.00871992,0.0312321,72.8082,-3.85722,-3.72328,32.8,99.203,0.025001,-0.374099,-0.0628088,0.0806223,1.82965,-0.0135794,-0.0666021,3.42489,3.73769,-72.8291,63.015,-3.76318,-3.7559,3.42489,3.73769,-63.0354
